narration_id,stop_frame,narration,all_nouns,all_noun_classes
P04_113_100,P04_113_9805.jpg,put spoon in drawer,spoon,1
P04_113_100,P04_113_9805.jpg,put spoon in drawer,drawer,8
P04_113_101,P04_113_9896.jpg,put spoon in drawer,spoon,1
P04_113_101,P04_113_9896.jpg,put spoon in drawer,drawer,8
P04_113_102,P04_113_9956.jpg,put spoon in drawer,spoon,1
P04_113_102,P04_113_9956.jpg,put spoon in drawer,drawer,8
P04_113_103,P04_113_10038.jpg,put spoon in drawer,spoon,1
P04_113_103,P04_113_10038.jpg,put spoon in drawer,drawer,8
P04_113_104,P04_113_10092.jpg,put knife in drawer,knife,4
P04_113_104,P04_113_10092.jpg,put knife in drawer,drawer,8
P04_113_105,P04_113_10184.jpg,take spoon out of cutlery tray,spoon,1
P04_113_106,P04_113_10254.jpg,put spoon in drawer,spoon,1
P04_113_106,P04_113_10254.jpg,put spoon in drawer,drawer,8
P04_113_107,P04_113_10282.jpg,put teaspoon in drawer,drawer,8
P04_113_108,P04_113_10376.jpg,put knife in drawer,knife,4
P04_113_108,P04_113_10376.jpg,put knife in drawer,drawer,8
P04_113_109,P04_113_10489.jpg,put knife in knife rack,knife,4
P04_113_110,P04_113_10622.jpg,put fork in drawer,fork,14
P04_113_110,P04_113_10622.jpg,put fork in drawer,drawer,8
P04_113_111,P04_113_10746.jpg,put spoon in drawer,spoon,1
P04_113_111,P04_113_10746.jpg,put spoon in drawer,drawer,8
P04_113_112,P04_113_10849.jpg,put teaspoon in drawer,drawer,8
P04_113_113,P04_113_10949.jpg,put teaspoon in drawer,drawer,8
P04_113_114,P04_113_11084.jpg,put teaspoons in drawer,drawer,8
P04_113_118,P04_113_11480.jpg,put measuring spoon in drawer,drawer,8
P04_113_120,P04_113_11651.jpg,put garlic press inside in drawer,drawer,8
P04_113_122,P04_113_11710.jpg,close drawer,drawer,8
P04_113_123,P04_113_11738.jpg,open drawer,drawer,8
P04_113_124,P04_113_11795.jpg,put knife in drawer,knife,4
P04_113_124,P04_113_11795.jpg,put knife in drawer,drawer,8
P04_113_125,P04_113_11852.jpg,put knife in drawer,knife,4
P04_113_125,P04_113_11852.jpg,put knife in drawer,drawer,8
P04_113_127,P04_113_11932.jpg,put garlic press in drawer,drawer,8
P04_113_128,P04_113_11991.jpg,put fork in drawer,fork,14
P04_113_128,P04_113_11991.jpg,put fork in drawer,drawer,8
P04_113_129,P04_113_12053.jpg,put teaspoon in drawer,drawer,8
P04_113_130,P04_113_12198.jpg,close drawer,drawer,8
P04_113_132,P04_113_12418.jpg,pick up fork,fork,14
P04_113_133,P04_113_12492.jpg,put fork in dishwasher,fork,14
P04_113_135,P04_113_12690.jpg,take spoons from ramekin,spoon,1
P04_113_136,P04_113_12784.jpg,put spoons in cutlery tray,spoon,1
P04_113_139,P04_113_12987.jpg,pick up plate,plate,2
P04_113_141,P04_113_13178.jpg,put plate in dishwasher,plate,2
P04_113_142,P04_113_13312.jpg,pick up plates,plate,2
P04_113_143,P04_113_13475.jpg,put plate in dishwasher,plate,2
P04_113_144,P04_113_13559.jpg,pick up spoon,spoon,1
P04_113_145,P04_113_13596.jpg,put spoon in cutlery tray,spoon,1
P04_113_146,P04_113_13657.jpg,put plate in dishwasher,plate,2
P04_113_147,P04_113_13815.jpg,pick up knife and fork,knife,4
P04_113_147,P04_113_13815.jpg,pick up knife and fork,fork,14
P04_113_148,P04_113_13889.jpg,put knife and fork in cutlery tray,knife,4
P04_113_148,P04_113_13889.jpg,put knife and fork in cutlery tray,fork,14
P04_113_151,P04_113_14130.jpg,pick up fork,fork,14
P04_113_153,P04_113_14172.jpg,put fork in cutlery tray,fork,14
P04_113_154,P04_113_14226.jpg,pick up plate,plate,2
P04_113_155,P04_113_14404.jpg,put plate in dishwasher,plate,2
P04_113_156,P04_113_14706.jpg,put plate in dishwasher,plate,2
P04_113_157,P04_113_14555.jpg,pick up plate,plate,2
P04_113_159,P04_113_14671.jpg,put plate in dishwasher,plate,2
P04_113_16,P04_113_2541.jpg,pick up spatula,spatula,20
P04_113_162,P04_113_14914.jpg,put lid in frying pan,lid,6
P04_113_163,P04_113_15013.jpg,pick up pan,pan,5
P04_113_17,P04_113_2639.jpg,open drawer,drawer,8
P04_113_173,P04_113_15917.jpg,turn on tap,tap,0
P04_113_175,P04_113_16132.jpg,turn off tap,tap,0
P04_113_18,P04_113_2717.jpg,close drawer,drawer,8
P04_113_184,P04_113_17119.jpg,put lid on rice cooker,lid,6
P04_113_19,P04_113_2758.jpg,open drawer,drawer,8
P04_113_20,P04_113_2801.jpg,put spatula in drawer,spatula,20
P04_113_20,P04_113_2801.jpg,put spatula in drawer,drawer,8
P04_113_21,P04_113_2855.jpg,close drawer,drawer,8
P04_113_213,P04_113_19856.jpg,pick up spoon and fork,spoon,1
P04_113_213,P04_113_19856.jpg,pick up spoon and fork,fork,14
P04_113_214,P04_113_19900.jpg,pick up fork,fork,14
P04_113_215,P04_113_19962.jpg,pick up spoon,spoon,1
P04_113_217,P04_113_20316.jpg,pick up spoons,spoon,1
P04_113_218,P04_113_20369.jpg,empty water from spoons,spoon,1
P04_113_22,P04_113_2855.jpg,pick up knife,knife,4
P04_113_224,P04_113_20847.jpg,take spoon out of jar,spoon,1
P04_113_225,P04_113_21013.jpg,put spoon in cutlery tray,spoon,1
P04_113_23,P04_113_2919.jpg,put knife in knife rack,knife,4
P04_113_236,P04_113_21682.jpg,turn on tap,tap,0
P04_113_25,P04_113_3090.jpg,pick up tupperware pot and lid,lid,6
P04_113_250,P04_113_23365.jpg,turn off tap,tap,0
P04_113_251,P04_113_23416.jpg,turn on tap,tap,0
P04_113_254,P04_113_23624.jpg,turn off tap,tap,0
P04_113_257,P04_113_23757.jpg,wipe hands with tea towel,hand,11
P04_113_26,P04_113_3138.jpg,put lid on tupperware,lid,6
