narration_id,stop_frame,narration,all_nouns,all_noun_classes
P04_107_0,25,move pan,pan,5
P04_107_10,1072,put dough in bowl,dough,25
P04_107_10,1072,put dough in bowl,bowl,7
P04_107_101,12834,close drawer,drawer,8
P04_107_103,12917,close drawer,drawer,8
P04_107_105,13116,put dough on baking tray,dough,25
P04_107_107,13188,put dough on baking tray,dough,25
P04_107_11,1198,stretch out dough,dough,25
P04_107_112,13358,rub dough ball in hand,hand,11
P04_107_113,13480,squeeze dough,dough,25
P04_107_115,14251,open drawer,drawer,8
P04_107_118,14613,open cupboard,cupboard,3
P04_107_12,1502,roll dough into sausage shape,dough,25
P04_107_126,15048,open drawer,drawer,8
P04_107_129,15307,open drawer,drawer,8
P04_107_13,1646,squeeze dough,dough,25
P04_107_132,15510,move knife,knife,4
P04_107_133,15587,roll dough,dough,25
P04_107_134,15671,turn dough,dough,25
P04_107_135,15734,roll dough,dough,25
P04_107_136,15821,turn dough,dough,25
P04_107_137,15979,roll dough,dough,25
P04_107_138,16103,flip dough,dough,25
P04_107_139,16277,roll dough,dough,25
P04_107_14,1939,pick up knife,knife,4
P04_107_140,16462,pick up dough,dough,25
P04_107_141,16497,put down dough,dough,25
P04_107_142,16622,roll dough,dough,25
P04_107_143,16809,pick up dough,dough,25
P04_107_144,16907,put down dough,dough,25
P04_107_145,17027,roll dough,dough,25
P04_107_147,17310,brush oil onto dough,dough,25
P04_107_15,2219,cut dough into chunks,dough,25
P04_107_152,17593,put chopstick on dough,dough,25
P04_107_153,17661,fold dough over chopstick,dough,25
P04_107_154,17727,press dough,dough,25
P04_107_156,17885,pick up dough,dough,25
P04_107_157,17928,slide dough off chopstick,dough,25
P04_107_159,18122,put dough on greaseproof paper,dough,25
P04_107_16,2552,mark divides on dough,dough,25
P04_107_162,18284,put down dough and greaseproof paper onto baking tray,dough,25
P04_107_17,2683,push dough into dough,dough,25
P04_107_17,2683,push dough into dough,dough,25
P04_107_170,19080,squeeze dough in hand,dough,25
P04_107_170,19080,squeeze dough in hand,hand,11
P04_107_171,19254,squeeze dough in hand,dough,25
P04_107_171,19254,squeeze dough in hand,hand,11
P04_107_172,19315,put down dough,dough,25
P04_107_173,19342,press dough,dough,25
P04_107_174,19382,pick up dough,dough,25
P04_107_175,19427,squeeze dough,dough,25
P04_107_176,19460,put down dough,dough,25
P04_107_178,19546,roll dough,dough,25
P04_107_179,19613,flip over dough,dough,25
P04_107_18,2750,squeeze dough,dough,25
P04_107_180,19550,roll dough,dough,25
P04_107_181,19616,flip over dough,dough,25
P04_107_182,19705,roll dough,dough,25
P04_107_183,20093,turn dough,dough,25
P04_107_185,20181,pick up dough,dough,25
P04_107_186,20286,stretch dough,dough,25
P04_107_187,20328,put down dough,dough,25
P04_107_188,20360,straighten dough,dough,25
P04_107_189,20516,move dough,dough,25
P04_107_191,20577,roll dough,dough,25
P04_107_192,20734,pick up dough,dough,25
P04_107_193,20777,put down dough,dough,25
P04_107_194,20885,roll dough,dough,25
P04_107_195,21020,straighten out dough,dough,25
P04_107_196,21090,fold in dough,dough,25
P04_107_197,21108,unfold dough,dough,25
P04_107_198,21168,fold dough,dough,25
P04_107_199,21292,stretch dough,dough,25
P04_107_20,2815,squeeze dough,dough,25
P04_107_200,21271,unfold dough,dough,25
P04_107_202,21441,brush dough with oil,dough,25
P04_107_203,21487,smooth oil into dough,dough,25
P04_107_205,21600,rub oil into dough,dough,25
P04_107_207,21693,roll chopstick on dough,dough,25
P04_107_208,21754,fold dough over chopstick,dough,25
P04_107_209,21828,press dough into dough,dough,25
P04_107_209,21828,press dough into dough,dough,25
P04_107_210,21861,slide out chopstick from dough,dough,25
P04_107_212,21943,pick up dough,dough,25
P04_107_214,22096,put dough on greaseproof paper,dough,25
P04_107_215,22183,put down dough and greaseproof paper,dough,25
P04_107_22,2973,squeeze dough,dough,25
P04_107_220,22597,squeeze dough,dough,25
P04_107_221,22674,squeeze dough into chopping board,dough,25
P04_107_223,22823,roll dough,dough,25
P04_107_224,22923,turn over dough,dough,25
P04_107_225,22991,roll dough,dough,25
P04_107_226,23103,turn over dough,dough,25
P04_107_227,23249,roll dough,dough,25
P04_107_228,23381,turn over dough,dough,25
P04_107_229,23463,roll dough,dough,25
P04_107_23,3219,mark divides on dough,dough,25
P04_107_230,23693,unfold dough,dough,25
P04_107_231,23800,roll out dough,dough,25
P04_107_232,23878,flip over dough,dough,25
P04_107_233,23987,roll out dough,dough,25
P04_107_234,24099,flip over dough,dough,25
P04_107_235,24175,unfold dough,dough,25
P04_107_236,24220,roll out dough,dough,25
P04_107_237,24263,press dough,dough,25
P04_107_24,3741,cut dough,dough,25
P04_107_241,24523,rub oil on dough,dough,25
P04_107_245,24786,put chopstick on dough,dough,25
P04_107_246,24893,fold dough over chopstick,dough,25
P04_107_247,24987,press down on dough,dough,25
P04_107_248,25013,pick up dough,dough,25
P04_107_249,25107,slide chopstick out of dough,dough,25
P04_107_252,25291,put dough on greaseproof paper,dough,25
P04_107_257,25594,put down dough and greaseproof paper,dough,25
P04_107_259,25710,drop dough balls into bowl,bowl,7
P04_107_261,25790,drop ball of dough into bowl,bowl,7
P04_107_267,26085,put dough on chopping board,dough,25
P04_107_27,3861,cut dough,dough,25
P04_107_271,26622,unfold dough,dough,25
P04_107_272,26612,flip over dough,dough,25
P04_107_273,26734,roll out dough,dough,25
P04_107_274,26827,flip over dough,dough,25
P04_107_275,26931,roll out dough,dough,25
P04_107_276,27060,pick up dough,dough,25
P04_107_277,27141,straighten dough,dough,25
P04_107_278,27174,put dough on chopping board,dough,25
P04_107_279,27291,roll out dough,dough,25
P04_107_28,3896,pull dough,dough,25
P04_107_280,27339,feel dough,dough,25
P04_107_285,27606,brush oil onto dough,dough,25
P04_107_287,27620,brush oil onto dough,dough,25
P04_107_29,3942,put down dough,dough,25
P04_107_290,27757,put chopstick on dough,dough,25
P04_107_291,27851,fold dough over chopstick,dough,25
P04_107_292,27889,pat dough,dough,25
P04_107_293,27962,pick up dough,dough,25
P04_107_294,28000,slide chopstick out of dough,dough,25
P04_107_296,28061,transfer dough to other hand,dough,25
P04_107_299,28253,put dough on greaseproof paper,dough,25
P04_107_30,3893,cut dough,dough,25
P04_107_31,3918,move dough,dough,25
P04_107_32,3971,cut dough,dough,25
P04_107_321,29619,pick up dough,dough,25
P04_107_322,29661,squidge dough with thumbs,dough,25
P04_107_323,29754,push dough into chopping board,dough,25
P04_107_324,29806,rotate dough,dough,25
P04_107_326,29899,roll out dough,dough,25
P04_107_327,30010,turn over dough,dough,25
