narration_id,stop_frame,narration,all_nouns,all_noun_classes
P02_108_103,P02_108_11098.jpg,pick up glass,glass,10
P02_108_104,P02_108_11211.jpg,put down glass,glass,10
P02_108_108,P02_108_11734.jpg,pick up glass,glass,10
P02_108_109,P02_108_11843.jpg,put down glass next to sink,glass,10
P02_108_110,P02_108_11931.jpg,open cupboard,cupboard,3
P02_108_111,P02_108_12004.jpg,pick up glass,glass,10
P02_108_112,P02_108_12062.jpg,close cupboard,cupboard,3
P02_108_113,P02_108_12135.jpg,put down glass,glass,10
P02_108_114,P02_108_12241.jpg,rub hands,hand,11
P02_108_116,P02_108_12457.jpg,lock bowl into food processor,bowl,7
P02_108_117,P02_108_12619.jpg,lock lid into processor,lid,6
P02_108_121,P02_108_13194.jpg,close drawer,drawer,8
P02_108_125,P02_108_15425.jpg,pour hot water from kettle into glass,glass,10
P02_108_126,P02_108_15619.jpg,pick up glass,glass,10
P02_108_127,P02_108_15733.jpg,pour more hot water into glass,glass,10
P02_108_130,P02_108_16263.jpg,pour cold water into glass,glass,10
P02_108_132,P02_108_16556.jpg,put down glass,glass,10
P02_108_134,P02_108_16703.jpg,pick up glass,glass,10
P02_108_135,P02_108_16916.jpg,pour some water from glass into sink,glass,10
P02_108_138,P02_108_17297.jpg,pour cold water into glass,glass,10
P02_108_14,P02_108_1804.jpg,open cupboard,cupboard,3
P02_108_140,P02_108_17573.jpg,put down glass,glass,10
P02_108_142,P02_108_17828.jpg,pick up glass,glass,10
P02_108_143,P02_108_18016.jpg,pour warm water from glass into sink,glass,10
P02_108_144,P02_108_18334.jpg,put down glass,glass,10
P02_108_146,P02_108_18590.jpg,pour cold water into glass from filter,glass,10
P02_108_149,P02_108_18941.jpg,open drawer,drawer,8
P02_108_150,P02_108_19047.jpg,pick up spoon,spoon,1
P02_108_151,P02_108_19093.jpg,close drawer,drawer,8
P02_108_155,P02_108_19701.jpg,pour oil from bottle into spoon,spoon,1
P02_108_156,P02_108_19785.jpg,pour oil from spoon into bowl,spoon,1
P02_108_156,P02_108_19785.jpg,pour oil from spoon into bowl,bowl,7
P02_108_157,P02_108_20044.jpg,pour oil from bottle into spoon,spoon,1
P02_108_158,P02_108_20084.jpg,pour oil from spoon into bowl,spoon,1
P02_108_158,P02_108_20084.jpg,pour oil from spoon into bowl,bowl,7
P02_108_161,P02_108_20328.jpg,pour water from glass into bowl,glass,10
P02_108_161,P02_108_20328.jpg,pour water from glass into bowl,bowl,7
P02_108_162,P02_108_20490.jpg,put down glass,glass,10
P02_108_163,P02_108_21358.jpg,mix mixture in bowl using spoon,bowl,7
P02_108_163,P02_108_21358.jpg,mix mixture in bowl using spoon,spoon,1
P02_108_166,P02_108_22782.jpg,mix mixture in bowl using spoon,bowl,7
P02_108_166,P02_108_22782.jpg,mix mixture in bowl using spoon,spoon,1
P02_108_167,P02_108_23231.jpg,clear spoon from any mixture,spoon,1
P02_108_168,P02_108_23349.jpg,put down spoon,spoon,1
P02_108_169,P02_108_23504.jpg,mix mixture using hand in bowl,hand,11
P02_108_169,P02_108_23504.jpg,mix mixture using hand in bowl,bowl,7
P02_108_171,P02_108_23827.jpg,pick some flour from bag using hand,hand,11
P02_108_172,P02_108_23982.jpg,pour flour from hand into bowl,hand,11
P02_108_172,P02_108_23982.jpg,pour flour from hand into bowl,bowl,7
P02_108_173,P02_108_24277.jpg,mix dough using hand,dough,25
P02_108_173,P02_108_24277.jpg,mix dough using hand,hand,11
P02_108_174,P02_108_24600.jpg,pick up flour from bag using hand,hand,11
P02_108_175,P02_108_24730.jpg,add flour from hand into bowl,hand,11
P02_108_175,P02_108_24730.jpg,add flour from hand into bowl,bowl,7
P02_108_176,P02_108_25772.jpg,mix dough,dough,25
P02_108_179,P02_108_27245.jpg,mix dough,dough,25
P02_108_18,P02_108_2243.jpg,put biscuit in cupboard,cupboard,3
P02_108_180,P02_108_27305.jpg,remove dough from bowl,dough,25
P02_108_180,P02_108_27305.jpg,remove dough from bowl,bowl,7
P02_108_182,P02_108_27543.jpg,pour oil from bottle into bowl,bowl,7
P02_108_184,P02_108_28350.jpg,shape dough using both hands,dough,25
P02_108_184,P02_108_28350.jpg,shape dough using both hands,hand,11
P02_108_185,P02_108_29399.jpg,put ball of dough inside bowl,bowl,7
P02_108_186,P02_108_29595.jpg,pick up dough using both hands,dough,25
P02_108_186,P02_108_29595.jpg,pick up dough using both hands,hand,11
P02_108_187,P02_108_30287.jpg,shape dough again using both hands,dough,25
P02_108_187,P02_108_30287.jpg,shape dough again using both hands,hand,11
P02_108_188,P02_108_31381.jpg,put ball of dough into bowl,bowl,7
